sno,sna,tot,sbi,mday,lat,lng,bemp,act
1299,立德公園,34,12,20210224160338,25.076441,121.367223,22,1
1300,新北市政府(新站路),60,39,20210224160323,25.012614,121.466455,20,1
1301,清水高中,40,14,20210224160325,24.982756,121.465444,26,1
1302,板橋車站,98,74,20210224160336,25.015519,121.463735,24,1
1303,樹林國民運動中心,34,15,20210224160342,25.004186,121.422847,18,1
1304,捷運輔大站(4號出口),42,14,20210224160328,25.033025,121.436484,28,1
1305,民安東民全街口,36,0,20210224160321,25.020774,121.429556,36,1
1306,中興北街175巷口,32,19,20210224160326,25.05597,121.471327,12,1
1307,仁愛路151巷口,44,4,20210224160335,25.064819,121.663885,40,1
1308,五股工商立體停車場,40,23,20210224160316,25.082494,121.439555,17,1
1309,沛陂社區公園,34,0,20210224160333,24.963289,121.419672,34,1
1310,佳和公園,34,6,20210224160344,25.006927,121.503171,28,1
1311,溪頭公園,40,8,20210224160330,25.033086,121.468403,31,1
1312,龍鳳公園,40,12,20210224160325,25.021447,121.416497,28,1
1313,伊吉邦社區,46,19,20210224160316,25.030186,121.413402,27,1
1314,三多第1市民活動中心,34,14,20210224160335,25.016361,121.404257,20,1
1315,新北高工,44,39,20210224160345,24.98277,121.4499,5,1
1316,瑞芳火車站,38,18,20210224160332,25.108506,121.80646,20,1
1317,長風社區,36,1,20210224160333,24.978108,121.439369,35,1
1318,永和國民運動中心,40,1,20210224160335,25.003555,121.524246,39,1
1319,民樂人行廣場,36,7,20210224160243,25.001834,121.482594,29,1
1320,民生親子公園,30,3,20210224160334,24.992983,121.428196,27,1
1321,樹林工業區,38,6,20210224160342,25.000868,121.416091,32,1
1322,龍埔公園,36,5,20210224160323,24.938911,121.373676,31,1
1323,尖山國中,32,0,20210224160322,24.9443,121.342089,32,1
1324,新北市立圖書館新店分館,36,3,20210224160341,24.982138,121.540903,33,1
1325,浮洲火車站,48,23,20210224160339,25.004098,121.444447,25,1
1326,捷運海山站(1號出口),80,55,20210224160339,24.984695,121.448504,25,1
1327,深坑區公所(深坑老街),50,5,20210224160328,25.0015,121.616311,45,1
1328,東南科技大學,34,8,20210224160326,25.0033,121.602501,26,1
1329,德光國光街口,34,2,20210224160317,25.003136,121.468087,32,1
1330,猴硐火車站,48,3,20210224160332,25.08647,121.82719,44,1
1331,永和國父紀念館,30,15,20210224160331,25.00839,121.520234,14,1
1332,台北得意GO,30,15,20210224160326,25.074424,121.467852,15,1
1333,大觀國中,40,0,20210224160320,25.01121,121.447237,40,1
1334,太陽公園,32,2,20210224160337,25.086448,121.485599,30,1
1335,三重五常公園,28,3,20210224160334,25.080648,121.496149,25,1
1336,三德公園,36,9,20210224160341,25.074974,121.500542,27,1
1337,力行大勇街口,30,7,20210224160332,25.071928,121.481508,23,1
1338,蘆洲延平派出所,36,2,20210224160325,25.08162,121.46162,34,1
1339,永安南路九芎街71巷口,36,8,20210224160330,25.077564,121.466071,28,1
1340,福和宮,50,24,20210224160343,25.00111,121.501991,26,1
1341,飛駝社區(興南路),42,7,20210224160338,24.983471,121.504826,35,1
1342,保平路214巷,30,15,20210224160220,25.00701,121.509208,15,1
1343,汐科火車站(南),64,14,20210224160337,25.062884,121.646597,50,1
1344,樹林國小,34,6,20210224160329,24.989136,121.41791,28,1
1345,永吉國小,36,14,20210224160321,24.958747,121.333095,21,1
1346,中園國小,36,7,20210224160339,24.927551,121.366919,25,1
1347,介壽國小,30,8,20210224160330,24.930341,121.378835,22,1
1348,安溪國中,32,0,20210224160335,24.92679,121.371957,29,1
1349,龍埔國小,38,12,20210224160338,24.941224,121.376763,25,1
1350,大安路與中山路二段口,34,0,20210224160342,24.983043,121.411318,31,1
1351,樹林區公所,40,6,20210224160336,24.98976,121.42478,34,1
1352,蘆洲重陽大樓,30,5,20210224160338,25.085055,121.481887,25,1
1353,埔墘國小,34,3,20210224160323,25.019078,121.473724,31,1
1354,圓通錦和路口,46,3,20210224160318,24.989236,121.491482,43,1
1355,下庄市場,30,11,20210224160317,25.146498,121.399748,19,1
1356,亞洲員安路口,34,14,20210224160326,24.972621,121.434796,19,1
1357,大安路307巷口,32,5,20210224160338,24.992158,121.417726,27,1
1358,漁人碼頭,50,22,20210224160341,25.183869,121.411178,28,1
1359,味王街,30,17,20210224160337,24.974674,121.404424,13,1
1360,福基公園,32,2,20210224160336,25.0581,121.460892,30,1
1361,振義里公園,30,2,20210224160323,25.023888,121.483965,28,1
1362,安溪國小,36,4,20210224160343,24.930621,121.372344,32,1
1363,中和安和路口,34,6,20210224160318,24.999667,121.506022,28,1
1364,元氣大鎮社區,28,5,20210224160341,25.005718,121.478997,23,1
1365,員勝公園,40,25,20210224160344,25.010284,121.478686,15,1
1366,永和自由街,32,1,20210224160337,25.0052,121.513339,31,1
1367,安樂宜安路口,36,3,20210224160334,24.995273,121.513506,33,1
1368,昌隆國小,36,13,20210224160337,25.052129,121.454891,23,1
1369,捷運新莊副都心站,46,34,20210224160344,25.059145,121.446614,12,1
1370,捷運泰山站,34,24,20210224160322,25.053127,121.439683,9,1
1371,八里中庄市場綜合大樓,36,4,20210224160320,25.159934,121.414074,32,1
1372,江翠國中,30,20,20210224160334,25.027987,121.468512,10,1
1373,捷運新北產業園區站,44,16,20210224160331,25.062029,121.459184,25,1
1374,捷運泰山貴和站,36,16,20210224160336,25.033192,121.422215,20,1
1375,龍形停車場,40,7,20210224160317,25.13041,121.451302,33,1
1376,捷運紅樹林站,58,10,20210224160331,25.153578,121.459124,44,1
1377,大庄一號公園,28,2,20210224160332,25.181957,121.422185,26,1
1378,三井Outlet,50,26,20210224160327,25.071574,121.366303,22,1
1379,貿商國宅,40,5,20210224160345,25.069463,121.43031,35,1
1380,中正北路193巷(愛買三重店),42,15,20210224160331,25.071362,121.475985,26,1
1381,翔譽雙子星,36,0,20210224160326,25.053638,121.492924,36,1
1382,明志科技大學,50,8,20210224160322,25.040434,121.422548,42,1
1383,三民高中(民權路),36,2,20210224160333,25.088024,121.473928,34,1
1384,環河福德南路口,32,6,20210224160339,25.060285,121.502173,26,1
1385,文林國小(潭興街),34,5,20210224160332,24.998601,121.424892,29,1
1386,林口老街,42,12,20210224160317,25.077153,121.393777,30,1
1387,板橋果菜批發市場,40,14,20210224160323,25.021153,121.45002,26,1
1388,安和公園,54,0,20210224160323,24.97411,121.518853,54,1
1389,東陽市民活動中心,32,1,20210224160325,24.982192,121.412517,31,1
1390,遠雄左岸,40,21,20210224160357,25.00985,121.487799,19,1
1391,瓦磘溝(福真里),32,17,20210224160333,25.004294,121.494692,15,1
